Date: 2020-05-07 14:23:20

Measuring points
Start X: 207
End X: 264
Start Y: 126
End Y: 144
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,3577
1539443075;10,4977
1539446150;9,3687
1539449225;9,9247
1539452300;10,3147
1539455375;10,4477
1539458450;10,2697
1539461525;10,1927
1539464600;9,4057
1539467675;10,4067
1539470750;10,0487
1539473825;10,8377
1539476900;10,0117
1539479975;10,1987
1539483050;9,4117
1539486125;9,8737
1539489200;9,9177
1539492275;9,4567
1539495350;9,9947
1539498425;9,3087
1539501500;10,9657
1539504575;12,4787
1539507650;15,2147
1539510725;14,9637
1539513800;10,0187
1539516875;10,0167
1539519950;9,8717
1539523025;10,1647
1539526100;10,5157
1539529175;10,0557
1539532250;9,8257
1539535325;9,1327
1539538400;10,3497
1539541475;9,4037
1539544550;9,8457
1539547625;9,8697
1539550700;11,1267
1539553775;9,4127
1539556850;10,6817
1539559925;9,7047
1539563000;9,8547
1539566075;9,2147
1539569150;9,5097
1539572225;9,8107
1539575300;9,8107
1539578375;11,4457
1539581450;16,2317
1539584525;16,1857
1539587600;9,5257
1539590675;9,6677
1539593750;10,1137
1539596825;10,1647
1539599900;10,9607
1539602975;10,2477
1539606050;11,0087
1539609125;9,2217
1539612200;11,2737
1539615275;9,4587
1539618350;10,9557
1539621425;10,4937
1539624500;10,0447
1539627575;10,0977
1539630650;9,1847
1539633725;9,8657
1539636800;9,7547
1539639875;9,4767
1539642950;10,4907
1539646025;9,3647
1539649100;10,2627
1539652175;12,0967
1539655250;17,8897
1539658325;17,5227
1539661400;9,2717
1539664475;9,7707
1539667550;10,1547
1539670625;9,7477
1539673700;9,5047
1539676775;9,5077
1539679850;9,3637
1539682925;9,4237
1539686000;9,5597
1539689075;9,4167
1539692150;9,6097
1539695225;9,7657
1539698300;9,6737
1539701375;10,3367
1539704450;10,2557
1539707525;9,5097
1539710600;10,0957
1539713675;9,6607
1539716750;10,5107
1539719825;9,3797
1539722900;10,1897
1539725975;14,0347
1539729050;18,8107
1539732125;18,4357
1539735200;11,2827
1539738275;9,5047
1539741350;10,6117
1539744425;10,1927
1539747500;10,5987
1539750575;10,3877
1539753650;10,0207
1539756725;9,1737
1539759800;9,4057
1539762875;9,4207
1539765950;10,1137
1539769025;9,3147
1539772100;9,3587
1539775175;9,9087
1539778250;9,2797
1539781325;9,4737
1539784400;9,2057
1539787475;11,0117
1539790550;12,7597
1539793625;10,9447
1539796700;9,8257
1539799775;12,0957
1539802850;18,5697
1539805925;18,8057
1539809000;9,3167
1539812075;9,6067
1539815150;9,3627
1539818225;9,4607
1539821300;9,6067
1539824375;9,3147
1539827450;10,7817
1539830525;9,4107
1539833600;9,6247
1539836675;8,8767
1539839750;9,2777
1539842825;10,7397
1539845900;10,1127
1539848975;9,2797
1539852050;10,4647
1539855125;10,9507
1539858200;9,7097
1539861275;9,5697
1539864350;9,5087
1539867425;10,2027
1539870500;9,4267
1539873575;11,3317
1539876650;17,8667
1539879725;17,7957
1539882800;11,1197
1539885875;9,9657
1539888950;8,8347
1539892025;11,1147
1539895100;9,9167
