Date: 2020-05-07 13:25:18

Measuring points
Start X: 207
End X: 264
Start Y: 126
End Y: 144
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;9,4207
1539443075;9,2177
1539446150;10,4367
1539449225;9,3817
1539452300;10,5017
1539455375;9,6607
1539458450;9,1847
1539461525;9,9597
1539464600;9,3277
1539467675;9,7767
1539470750;9,5617
1539473825;9,3817
1539476900;9,6697
1539479975;9,8657
1539483050;9,2747
1539486125;10,0187
1539489200;10,1177
1539492275;10,5067
1539495350;9,8497
1539498425;10,4157
1539501500;10,6627
1539504575;9,6257
1539507650;11,5887
1539510725;12,4367
1539513800;9,1877
1539516875;10,1007
1539519950;11,3267
1539523025;10,3547
1539526100;10,0057
1539529175;11,0147
1539532250;9,3267
1539535325;9,0737
1539538400;9,5207
1539541475;9,0767
1539544550;10,0487
1539547625;10,1617
1539550700;10,2957
1539553775;10,3147
1539556850;9,8167
1539559925;9,3687
1539563000;10,4047
1539566075;10,0187
1539569150;9,9087
1539572225;10,1187
1539575300;9,6077
1539578375;10,3047
1539581450;14,6527
1539584525;13,4227
1539587600;9,5647
1539590675;9,9457
1539593750;8,7797
1539596825;9,7747
1539599900;10,1507
1539602975;9,5597
1539606050;10,5597
1539609125;9,6517
1539612200;10,7837
1539615275;9,8497
1539618350;9,9967
1539621425;10,2677
1539624500;9,6147
1539627575;9,9967
1539630650;10,4047
1539633725;9,9207
1539636800;9,4677
1539639875;10,2037
1539642950;9,8257
1539646025;10,1707
1539649100;10,1067
1539652175;12,8207
1539655250;16,1247
1539658325;16,2637
1539661400;10,0207
1539664475;9,8537
1539667550;10,6137
1539670625;10,1077
1539673700;9,8697
1539676775;10,2667
1539679850;9,6517
1539682925;9,5047
1539686000;9,0257
1539689075;10,3417
1539692150;9,4597
1539695225;9,2107
1539698300;9,7547
1539701375;9,6767
1539704450;10,5547
1539707525;10,0987
1539710600;9,6697
1539713675;9,6717
1539716750;9,1297
1539719825;9,4727
1539722900;9,3547
1539725975;10,3457
1539729050;15,5207
1539732125;14,9027
1539735200;10,4457
1539738275;9,5647
1539741350;10,5847
1539744425;10,2037
1539747500;9,3687
1539750575;9,9727
1539753650;9,8067
1539756725;9,8267
1539759800;8,9907
1539762875;9,7047
1539765950;9,9937
1539769025;9,7097
1539772100;9,9607
1539775175;9,4517
1539778250;9,3347
1539781325;9,5287
1539784400;9,9627
1539787475;12,6367
1539790550;13,8267
1539793625;10,2967
1539796700;10,3037
1539799775;9,9957
1539802850;12,1377
1539805925;12,0807
1539809000;9,6227
1539812075;10,3607
1539815150;10,1147
1539818225;10,4357
1539821300;10,0927
1539824375;9,5067
1539827450;9,4207
1539830525;10,8387
1539833600;9,3587
1539836675;9,7467
1539839750;9,8057
1539842825;9,3547
1539845900;9,8137
1539848975;9,4287
1539852050;9,3737
1539855125;9,6087
1539858200;9,2777
1539861275;9,2317
1539864350;9,9657
1539867425;9,7147
1539870500;9,7627
1539873575;9,9997
1539876650;14,0407
1539879725;13,0867
1539882800;10,5907
1539885875;10,1037
1539888950;9,7127
1539892025;9,1657
1539895100;9,7007
1539898175;9,4207
1539901250;9,4267
1539904325;10,3397
1539907400;10,1517
1539910475;10,1147
1539913550;10,4927
1539916625;9,4627
1539919700;9,7057
1539922775;9,7957
1539925850;10,0527
1539928925;10,7067
1539932000;9,4197
1539935075;9,2687
1539938150;9,9237
1539941225;9,9237
1539944300;9,4517
1539947375;17,0117
1539950450;23,4277
1539953525;23,8337
1539956600;17,9107
1539959675;10,8027
1539962750;10,6307
1539965825;9,8247
1539968900;10,1177
1539971975;9,7237
1539975050;10,3517
1539978125;9,5247
1539981200;9,2277
1539984275;9,1177
1539987350;10,3867
1539990425;10,1957
1539993500;9,8467
1539996575;9,4087
1539999650;9,4627
1540002725;9,3197
1540005800;9,9037
1540008875;9,5177
1540011950;15,7977
1540015025;16,0457
1540018100;15,5907
1540021175;28,0897
1540024250;38,9657
1540027325;39,9817
1540030400;32,0047
1540033475;13,3117
1540036550;9,6667
1540039625;9,9167
1540042700;9,6707
1540045775;9,3197
1540048850;8,9337
1540051925;9,5017
1540055000;10,2047
1540058075;9,6217
1540061150;9,3827
1540064225;10,1987
1540067300;9,5207
1540070375;9,6957
1540073450;9,6087
1540076525;10,2997
1540079600;10,5527
1540082675;9,5487
1540085750;10,3547
1540088825;10,3017
1540091900;9,5737
1540094975;16,0957
1540098050;23,5757
1540101125;25,0817
1540104200;18,8437
1540107275;9,3577
1540110350;9,4567
1540113425;9,8587
1540116500;10,2477
1540119575;10,7437
1540122650;10,4477
1540125725;9,9227
1540128800;10,5837
1540131875;9,6587
1540134950;9,6107
1540138025;10,5027
1540141100;9,4187
1540144175;9,9917
1540147250;8,9827
