Date: 2020-05-07 18:23:37

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;8,6337
1539443075;10,8597
1539446150;9,1577
1539449225;8,6287
1539452300;9,8957
1539455375;8,8227
1539458450;9,2817
1539461525;8,8407
1539464600;8,2917
1539467675;10,6487
1539470750;9,3577
1539473825;9,3137
1539476900;8,8177
1539479975;9,7227
1539483050;9,2307
1539486125;8,3577
1539489200;9,7107
1539492275;9,6517
1539495350;9,5257
1539498425;9,9617
1539501500;8,7837
1539504575;9,1687
1539507650;11,0177
1539510725;12,1297
1539513800;8,8837
1539516875;10,1077
1539519950;9,1327
1539523025;9,5817
1539526100;9,8087
1539529175;9,7677
1539532250;9,5507
1539535325;8,7307
1539538400;9,1387
1539541475;8,9807
1539544550;10,2207
1539547625;10,1667
1539550700;9,3847
1539553775;9,0347
1539556850;9,6167
1539559925;9,3267
1539563000;8,6777
1539566075;8,9807
1539569150;8,9367
1539572225;8,9407
1539575300;9,4547
1539578375;10,2957
1539581450;12,4237
1539584525;13,8187
1539587600;9,1717
1539590675;9,5527
1539593750;9,6307
1539596825;9,3227
1539599900;9,3277
1539602975;9,3047
1539606050;9,0107
1539609125;9,6757
1539612200;10,0097
1539615275;9,6287
1539618350;9,3357
1539621425;9,9577
1539624500;9,3597
1539627575;9,7527
1539630650;8,9207
1539633725;7,9797
1539636800;9,5027
1539639875;8,5737
1539642950;9,1117
1539646025;8,5797
1539649100;9,5537
1539652175;8,1587
1539655250;12,0897
1539658325;12,9137
1539661400;9,4617
1539664475;9,9547
1539667550;10,1177
1539670625;9,1667
1539673700;9,0627
1539676775;9,9487
1539679850;10,0427
1539682925;9,2727
1539686000;9,9637
1539689075;10,0447
1539692150;9,2787
1539695225;8,7617
1539698300;9,8087
1539701375;9,1827
1539704450;8,8657
1539707525;9,5097
1539710600;10,0167
1539713675;9,5627
1539716750;9,8167
1539719825;9,6147
1539722900;9,4617
1539725975;8,8927
1539729050;14,0797
1539732125;14,3527
1539735200;10,1557
1539738275;10,4447
1539741350;8,7367
1539744425;10,5617
1539747500;10,0007
1539750575;9,1777
1539753650;8,8447
1539756725;10,0077
1539759800;9,3747
1539762875;9,5257
1539765950;10,2467
1539769025;9,3217
1539772100;9,8057
1539775175;9,0867
1539778250;11,2157
1539781325;9,4067
1539784400;9,9697
1539787475;9,1357
1539790550;9,7957
1539793625;9,8687
1539796700;9,7217
1539799775;10,2687
1539802850;12,1867
1539805925;13,7227
1539809000;10,5517
1539812075;10,0637
1539815150;9,3077
1539818225;9,3697
1539821300;8,6837
1539824375;8,3657
1539827450;9,4647
1539830525;9,1137
1539833600;8,9787
1539836675;10,2507
1539839750;9,2257
1539842825;9,4577
1539845900;9,2367
1539848975;9,3567
1539852050;9,1267
1539855125;10,0087
1539858200;9,2807
1539861275;9,6687
1539864350;9,3147
1539867425;8,6077
1539870500;8,5097
1539873575;9,2237
1539876650;13,5427
1539879725;12,9587
1539882800;10,8627
1539885875;8,7777
1539888950;9,4307
1539892025;8,7267
1539895100;9,2667
1539898175;9,5017
1539901250;9,1657
1539904325;9,5607
1539907400;9,6777
1539910475;9,2057
1539913550;8,3947
1539916625;9,2277
1539919700;9,5517
1539922775;10,5817
1539925850;10,0417
1539928925;8,6077
1539932000;9,0247
1539935075;9,4107
1539938150;8,7597
1539941225;10,8427
1539944300;9,8117
1539947375;11,7087
1539950450;16,8547
1539953525;17,8957
1539956600;13,8857
1539959675;10,0027
1539962750;9,0887
1539965825;8,9747
1539968900;8,9597
1539971975;8,3197
1539975050;8,5567
1539978125;9,3347
1539981200;8,8877
1539984275;9,7697
1539987350;8,6307
1539990425;9,3087
1539993500;9,6267
1539996575;10,4597
1539999650;9,1307
1540002725;8,5227
1540005800;10,1567
1540008875;8,5747
1540011950;8,6547
1540015025;9,3077
1540018100;12,4087
1540021175;20,8567
1540024250;31,4357
1540027325;34,6257
1540030400;31,7157
1540033475;15,1607
1540036550;9,4697
1540039625;9,7467
1540042700;8,8847
1540045775;9,7237
1540048850;10,1607
1540051925;9,6757
1540055000;8,7377
1540058075;9,3757
1540061150;9,6017
1540064225;9,2137
1540067300;9,4297
1540070375;9,9617
1540073450;9,0157
1540076525;9,3597
1540079600;9,3757
1540082675;10,1167
1540085750;9,4727
1540088825;8,8907
1540091900;9,1197
1540094975;12,7037
1540098050;16,0787
1540101125;19,2247
1540104200;15,4207
1540107275;9,5557
1540110350;10,3657
1540113425;8,6647
1540116500;9,3167
1540119575;9,8087
1540122650;9,2177
1540125725;9,7597
1540128800;8,8727
1540131875;8,6207
1540134950;9,3777
1540138025;9,5167
1540141100;9,3537
1540144175;9,0377
1540147250;9,6057
1540150325;9,2697
1540153400;9,7457
1540156475;10,0917
1540159550;8,9687
1540162625;9,4197
1540165700;9,0197
1540168775;9,2137
1540171850;11,0177
1540174925;14,8117
1540178000;14,4997
1540181075;9,1737
1540184150;9,4767
1540187225;9,4497
1540190300;9,5157
1540193375;10,2177
1540196450;8,5747
1540199525;10,1147
1540202600;8,5167
1540205675;9,6757
1540208750;8,7877
1540211825;8,3977
1540214900;9,4757
1540217975;9,1267
1540221050;8,8607
1540224125;8,8657
1540227200;8,9087
1540230275;10,1637
1540233350;9,0807
1540236425;9,1287
1540239500;9,2827
1540242575;8,5727
1540245650;14,1837
1540248725;16,6687
1540251800;15,9197
1540254875;9,4627
1540257950;8,9637
1540261025;9,8467
1540264100;8,8307
1540267175;9,5787
1540270250;8,9817
1540273325;8,7297
1540276400;9,2717
1540279475;10,1047
1540282550;10,2437
1540285625;9,4587
1540288700;8,5117
1540291775;10,0197
1540294850;9,7537
1540297925;8,0417
1540301000;9,9057
1540304075;9,0337
1540307150;9,7947
1540310225;9,9457
1540313300;9,1157
1540316375;8,9337
1540319450;10,8307
1540322525;14,8327
1540325600;14,6407
1540328675;9,2757
1540331750;9,9537
1540334825;9,4997
1540337900;9,1067
1540340975;10,5107
1540344050;9,5287
1540347125;9,5067
1540350200;8,9357
1540353275;11,0997
1540356350;10,0457
1540359425;8,9837
1540362500;9,5747
1540365575;10,0947
1540368650;9,1357
1540371725;10,3647
1540374800;9,4697
1540377875;9,6157
1540380950;9,4497
1540384025;9,3617
1540387100;9,3307
1540390175;10,1417
1540393250;10,0527
1540396325;14,7477
1540399400;14,6887
1540402475;10,3467
1540405550;9,8467
1540408625;9,2147
1540411700;8,9837
1540414775;9,1687
1540417850;8,2947
1540420925;9,7587
1540424000;8,6127
1540427075;9,7647
1540430150;9,7467
1540433225;10,1387
1540436300;8,7317
1540439375;9,5707
1540442450;9,4187
1540445525;9,2297
1540448600;9,4247
1540451675;10,0487
1540454750;9,3287
1540457825;9,3127
1540460900;9,9997
1540463975;10,4127
1540467050;10,8007
1540470125;10,5367
