Date: 2020-05-07 15:58:52

Measuring points
Start X: 210
End X: 240
Start Y: 120
End Y: 145
Z level: 4
Step size: 0
Start angle: 0
Stop angle: 0
Angle step: 0

Frequency;Amplitude
1539440000;8,8357
1539443075;10,5137
1539446150;9,4527
1539449225;9,7157
1539452300;10,1067
1539455375;9,6697
1539458450;8,9777
1539461525;9,1847
1539464600;8,5557
1539467675;10,6617
1539470750;9,1187
1539473825;8,2127
1539476900;9,2787
1539479975;9,3097
1539483050;10,3547
1539486125;8,9277
1539489200;9,5317
1539492275;9,0197
1539495350;9,4147
1539498425;10,3877
1539501500;9,2087
1539504575;9,5047
1539507650;10,6907
1539510725;11,0167
1539513800;9,7027
1539516875;10,1507
1539519950;9,2377
1539523025;9,2237
1539526100;8,9427
1539529175;9,4697
1539532250;10,1467
1539535325;9,6717
1539538400;9,9117
1539541475;9,4587
1539544550;9,4637
1539547625;9,1807
1539550700;9,2657
1539553775;9,2147
1539556850;9,9527
1539559925;9,5277
1539563000;10,1067
1539566075;9,6787
1539569150;9,2617
1539572225;8,7097
1539575300;9,0837
1539578375;9,3577
1539581450;11,5987
1539584525;12,1007
1539587600;9,4077
1539590675;9,0197
1539593750;9,9157
1539596825;10,2037
1539599900;9,0347
1539602975;9,3547
1539606050;8,7727
1539609125;8,9187
1539612200;9,6127
1539615275;8,8777
1539618350;9,3047
1539621425;10,4997
1539624500;8,9647
1539627575;8,9297
1539630650;9,1327
1539633725;9,7127
1539636800;9,3817
1539639875;9,6287
1539642950;9,6537
1539646025;9,5797
1539649100;9,8087
1539652175;10,7877
1539655250;16,2207
1539658325;16,1347
1539661400;8,7907
1539664475;8,7797
1539667550;9,3267
1539670625;8,4587
1539673700;9,4787
1539676775;10,2187
1539679850;9,0367
1539682925;8,7657
1539686000;9,1607
1539689075;8,8657
1539692150;8,8777
1539695225;10,3567
1539698300;9,7997
1539701375;9,6567
1539704450;10,1927
1539707525;9,2747
1539710600;9,0107
1539713675;9,3097
1539716750;10,0627
1539719825;9,2607
1539722900;9,6217
1539725975;8,8887
1539729050;11,9077
1539732125;13,4587
1539735200;9,3547
1539738275;8,5187
1539741350;9,1167
1539744425;10,1067
1539747500;9,0637
1539750575;8,8267
1539753650;9,5737
1539756725;9,3227
1539759800;9,6977
1539762875;8,9707
1539765950;10,4907
1539769025;9,3567
1539772100;8,4717
1539775175;9,3537
1539778250;8,4077
1539781325;9,6487
1539784400;8,7887
1539787475;9,1357
1539790550;9,6727
1539793625;10,0547
1539796700;10,0587
1539799775;10,0907
1539802850;9,2367
1539805925;10,9667
1539809000;9,8487
1539812075;9,6117
1539815150;9,7167
1539818225;9,0337
1539821300;8,5227
1539824375;9,1657
1539827450;10,6917
1539830525;10,9437
1539833600;8,5137
1539836675;9,6097
1539839750;8,8807
1539842825;9,8687
1539845900;8,9657
1539848975;9,4787
1539852050;9,8997
1539855125;9,0827
1539858200;9,8487
1539861275;9,8987
1539864350;9,8987
1539867425;8,8197
1539870500;8,9197
1539873575;8,6617
1539876650;12,4377
1539879725;15,0107
1539882800;10,8517
1539885875;9,9717
1539888950;9,0777
1539892025;9,6087
1539895100;9,4577
1539898175;9,6277
1539901250;10,0127
1539904325;10,7377
1539907400;9,0387
1539910475;8,6217
1539913550;8,6147
1539916625;9,3787
1539919700;10,3667
1539922775;9,3217
1539925850;9,3087
1539928925;8,8627
1539932000;9,0277
1539935075;8,9327
1539938150;9,2187
1539941225;9,5807
1539944300;8,9177
1539947375;11,2767
1539950450;18,7917
1539953525;21,4487
1539956600;19,0887
1539959675;10,0437
1539962750;9,2227
1539965825;8,7847
1539968900;9,8737
1539971975;9,2827
1539975050;8,7137
1539978125;9,1377
1539981200;10,5887
1539984275;9,4787
1539987350;10,6477
1539990425;9,8077
1539993500;9,6617
1539996575;9,8117
1539999650;9,0137
1540002725;9,4087
1540005800;9,3147
1540008875;10,1147
1540011950;8,9337
1540015025;11,6517
1540018100;13,5157
1540021175;21,8067
1540024250;32,5407
1540027325;34,4777
1540030400;31,5147
1540033475;12,7007
1540036550;9,2707
1540039625;9,9187
1540042700;8,1527
1540045775;9,6157
1540048850;8,6637
1540051925;9,6157
1540055000;8,6277
1540058075;9,5237
1540061150;9,5187
1540064225;9,0157
1540067300;8,8317
1540070375;10,3487
1540073450;10,1097
1540076525;9,0177
1540079600;9,0307
1540082675;9,4297
1540085750;9,0237
1540088825;9,3297
1540091900;10,2977
1540094975;10,6577
1540098050;18,2707
1540101125;21,6087
1540104200;19,5267
1540107275;10,0577
1540110350;9,3227
1540113425;9,5607
1540116500;9,5517
1540119575;9,4167
1540122650;9,1107
1540125725;8,2987
1540128800;8,4747
1540131875;7,9887
1540134950;10,3547
1540138025;9,4057
1540141100;9,9177
1540144175;9,6637
1540147250;8,9787
1540150325;9,3797
1540153400;8,9097
1540156475;10,2107
1540159550;9,6627
1540162625;9,3207
1540165700;10,3527
1540168775;9,2247
1540171850;11,0017
1540174925;13,8847
1540178000;13,3487
1540181075;9,2567
1540184150;9,8557
1540187225;9,4097
1540190300;9,5107
1540193375;9,3767
1540196450;9,3147
1540199525;9,0147
1540202600;8,6667
1540205675;9,8077
1540208750;9,3217
1540211825;9,1097
1540214900;9,5617
1540217975;8,6727
1540221050;9,1777
1540224125;10,3907
1540227200;8,7647
1540230275;12,0367
1540233350;8,9317
1540236425;9,8187
1540239500;9,6257
1540242575;8,2947
1540245650;9,4087
1540248725;10,8007
1540251800;8,7827
1540254875;9,2277
1540257950;9,5747
1540261025;8,5527
1540264100;9,3017
1540267175;9,1637
1540270250;9,3307
1540273325;10,3627
1540276400;9,4497
1540279475;8,8787
1540282550;9,4787
1540285625;10,2967
1540288700;8,4647
1540291775;9,1637
1540294850;9,7627
1540297925;9,6247
1540301000;8,9087
1540304075;10,4947
1540307150;9,8537
1540310225;10,7307
1540313300;9,2667
1540316375;8,5567
1540319450;10,0487
1540322525;13,8677
1540325600;14,2727
1540328675;9,0717
1540331750;10,0067
1540334825;8,8787
1540337900;9,0627
1540340975;9,5157
1540344050;8,6837
1540347125;8,6547
1540350200;9,4087
1540353275;8,6217
1540356350;8,8767
1540359425;8,5097
1540362500;8,4177
1540365575;9,7257
1540368650;9,5747
1540371725;9,1617
1540374800;10,2027
1540377875;9,5087
1540380950;8,9797
1540384025;9,5677
1540387100;9,3157
1540390175;9,1747
1540393250;10,0137
1540396325;15,0647
1540399400;14,4897
1540402475;10,1617
1540405550;8,9397
1540408625;9,9497
1540411700;10,5407
1540414775;9,7257
1540417850;9,3587
1540420925;10,1657
1540424000;8,7677
1540427075;10,3387
1540430150;8,7607
1540433225;9,4667
1540436300;9,3727
1540439375;9,3127
1540442450;9,9217
1540445525;8,9377
1540448600;9,1317
1540451675;9,1797
1540454750;10,3847
1540457825;9,5047
1540460900;9,0717
1540463975;8,7337
1540467050;8,8147
1540470125;11,2657
1540473200;13,0767
1540476275;8,7247
1540479350;8,8377
1540482425;10,0977
1540485500;10,8457
1540488575;9,6527
1540491650;9,1117
1540494725;9,0137
1540497800;9,2787
1540500875;9,5137
1540503950;9,3607
1540507025;9,2777
1540510100;9,4117
1540513175;8,9817
1540516250;8,7677
1540519325;9,4177
1540522400;9,1817
1540525475;8,9637
1540528550;8,8307
1540531625;9,1687
1540534700;8,3907
1540537775;8,9087
1540540850;8,7787
1540543925;10,3647
1540547000;11,2227
1540550075;9,1207
1540553150;8,7157
1540556225;8,9117
1540559300;9,1657
1540562375;9,7737
1540565450;8,9267
1540568525;9,5197
1540571600;9,5747
1540574675;8,9357
1540577750;9,1097
1540580825;8,7877
1540583900;8,7697
1540586975;8,9247
1540590050;9,4087
1540593125;9,4787
1540596200;8,5087
1540599275;9,3207
1540602350;9,6247
1540605425;9,3737
1540608500;9,7927
1540611575;8,8727
1540614650;8,9277
1540617725;10,7257
1540620800;9,8527
1540623875;9,7647
1540626950;9,9097
1540630025;10,0897
1540633100;9,6157
1540636175;9,0307
1540639250;8,9367
1540642325;8,8137
1540645400;8,8277
1540648475;9,0197
1540651550;9,6587
1540654625;9,2307
1540657700;9,3597
1540660775;8,4007
1540663850;8,3407
1540666925;8,4667
1540670000;8,8407
